Wall time,Step,Value
1557685136.9827378,80,2.1918187141418457
1557685140.740935,160,1.7943508625030518
1557685144.567349,240,1.6214332580566406
1557685148.2857552,320,1.7077796459197998
1557685152.103582,400,1.4536418914794922
1557685155.9352248,480,1.7509368658065796
1557685159.5960622,560,1.3699575662612915
1557685163.578102,640,1.2383549213409424
1557685167.231979,720,1.2107577323913574
1557685171.1507354,800,1.145592451095581
1557685174.947868,880,1.1182210445404053
1557685184.402639,960,1.2549028396606445
1557685188.1874313,1040,1.097183346748352
1557685191.9821646,1120,1.1493228673934937
1557685195.6485114,1200,1.067516803741455
1557685199.4822826,1280,1.0730847120285034
1557685203.3772628,1360,1.113721251487732
1557685207.3476195,1440,1.1090800762176514
1557685211.1869113,1520,1.1509004831314087
1557685214.8875935,1600,1.1693452596664429
1557685218.8119648,1680,1.198697805404663
1557685222.602925,1760,1.2520123720169067
1557685226.3904622,1840,1.2315142154693604
1557685230.3309972,1920,1.4241092205047607
1557685234.0039446,2000,1.2271584272384644
1557685237.963207,2080,1.3035675287246704
1557685241.5209184,2160,1.44883131980896
1557685245.4407291,2240,1.3904485702514648
1557685249.061066,2320,1.6814911365509033
1557685252.8625546,2400,1.414506435394287
1557685256.4826431,2480,1.4950252771377563
1557685260.4515026,2560,1.3781814575195312
1557685264.2507827,2640,1.5078388452529907
1557685268.2540777,2720,1.4318253993988037
1557685272.1944096,2800,1.5162807703018188
1557685276.167674,2880,1.5527265071868896
1557685279.9103024,2960,1.6216896772384644
1557685283.770019,3040,1.6484766006469727
1557685287.609793,3120,1.625986099243164
1557685291.4840927,3200,1.6579686403274536
1557685295.279506,3280,1.7157396078109741
1557685299.0736737,3360,1.6901166439056396
1557685302.8806555,3440,1.7270927429199219
1557685306.6376507,3520,1.7394988536834717
1557685310.5697036,3600,1.7360713481903076
1557685314.267547,3680,1.7389309406280518
1557685318.487378,3760,1.790046215057373
1557685322.3823893,3840,2.2022464275360107
1557685326.0250788,3920,1.6121277809143066
1557685329.854007,4000,1.4801026582717896
1557685333.5906656,4080,1.4468228816986084
1557685337.3452084,4160,1.538426160812378
1557685341.2346475,4240,1.5848077535629272
1557685345.1638196,4320,1.5145245790481567
1557685348.9958181,4400,1.591729998588562
1557685352.9541984,4480,1.588239073753357
1557685356.882227,4560,1.6610440015792847
1557685360.7863114,4640,1.822324514389038
1557685364.6072865,4720,1.7679076194763184
1557685368.41208,4800,1.7547658681869507
1557685372.3718934,4880,1.6851513385772705
1557685376.2748265,4960,1.7124476432800293
1557685380.120837,5040,1.7217564582824707
1557685384.0081508,5120,1.726022481918335
1557685387.9083707,5200,1.7164840698242188
1557685391.5953808,5280,1.7159757614135742
1557685395.5056443,5360,1.7251601219177246
1557685399.4580603,5440,1.7341912984848022
1557685403.3349388,5520,1.7230238914489746
1557685407.2872205,5600,1.7265336513519287
1557685411.1876864,5680,1.737297534942627
1557685415.16001,5760,1.7480733394622803
1557685419.0669234,5840,1.80942702293396
1557685422.9829183,5920,1.7380743026733398
1557685426.7179186,6000,1.748837947845459
1557685430.5049887,6080,1.6664628982543945
1557685434.5744178,6160,1.7898402214050293
1557685438.3703082,6240,1.7672200202941895
1557685442.306879,6320,1.7764661312103271
1557685446.1265113,6400,1.8247992992401123
1557685449.9006202,6480,1.9033870697021484
1557685453.7888832,6560,1.8341145515441895
1557685457.606804,6640,1.8165265321731567
1557685461.4904914,6720,1.9303669929504395
1557685465.4107301,6800,1.8130007982254028
1557685469.1773276,6880,1.7976763248443604
1557685472.9808323,6960,1.7944825887680054
1557685476.8060167,7040,1.7985857725143433
1557685480.6820652,7120,1.7960329055786133
1557685484.3825436,7200,1.7996715307235718
1557685488.3507757,7280,1.8508380651474
1557685492.1526453,7360,1.8954036235809326
1557685496.0743144,7440,1.8679801225662231
1557685499.9197977,7520,1.8721569776535034
1557685503.627432,7600,1.848059892654419
1557685507.4741604,7680,2.064578056335449
1557685511.359044,7760,1.9983272552490234
1557685514.9851158,7840,1.8281599283218384
1557685518.8215115,7920,1.788079857826233
1557685522.5256822,8000,1.7397581338882446
1557685526.4081223,8080,1.7605183124542236
1557685530.1755106,8160,1.751957893371582
1557685533.9389398,8240,1.732609748840332
1557685537.8834987,8320,1.7400494813919067
1557685541.8728712,8400,1.7410578727722168
1557685545.8007312,8480,1.7332919836044312
1557685549.551774,8560,1.7264076471328735
1557685553.2571766,8640,1.7856286764144897
1557685557.140028,8720,1.787054181098938
1557685561.001301,8800,1.7793265581130981
1557685564.7656093,8880,1.9029316902160645
1557685568.628834,8960,1.9578683376312256
1557685572.631514,9040,1.8779926300048828
1557685576.2416606,9120,1.8130903244018555
1557685579.98379,9200,1.7881861925125122
1557685583.9452896,9280,1.7780334949493408
1557685587.8416195,9360,1.7710505723953247
1557685591.7318673,9440,1.7586321830749512
1557685595.6924472,9520,1.758265733718872
1557685599.6513076,9600,1.764258861541748
1557685603.4793096,9680,1.800849199295044
1557685607.2705774,9760,1.768929362297058
1557685611.226445,9840,1.7619682550430298
1557685615.1912453,9920,1.8458794355392456
1557685619.134261,10000,1.9059253931045532
1557685623.0057886,10080,2.1193552017211914
1557685626.8689353,10160,1.8276302814483643
1557685630.7982726,10240,1.7303298711776733
1557685634.6801863,10320,1.7173343896865845
1557685638.4443717,10400,1.747336506843567
1557685642.1889477,10480,1.7191048860549927
1557685645.8464339,10560,1.7518608570098877
1557685649.6786406,10640,1.7569563388824463
1557685653.5148191,10720,1.7590055465698242
1557685657.3278987,10800,1.7596203088760376
1557685661.290429,10880,1.7701407670974731
1557685665.201249,10960,1.7555553913116455
1557685668.9440458,11040,1.797479271888733
1557685672.755694,11120,1.7778706550598145
1557685676.6238313,11200,1.7912344932556152
1557685680.6039042,11280,1.802776575088501
1557685684.4810374,11360,1.7890126705169678
1557685688.4216516,11440,1.779518961906433
1557685692.4362075,11520,1.7845431566238403
1557685696.3545969,11600,1.783038854598999
1557685699.95342,11680,1.7825267314910889
1557685703.7540631,11760,1.7676664590835571
1557685707.7348046,11840,1.7728655338287354
1557685711.6006746,11920,1.7546466588974
1557685715.5094626,12000,1.7566862106323242
1557685719.5064306,12080,1.7537626028060913
1557685723.4762568,12160,1.7383506298065186
1557685727.358569,12240,1.740346074104309
1557685731.3496678,12320,1.7448827028274536
1557685735.3975706,12400,1.707203984260559
1557685739.4147305,12480,1.7276322841644287
1557685743.3939507,12560,1.731424331665039
1557685747.4092188,12640,1.7454038858413696
1557685751.2892675,12720,1.7727272510528564
1557685755.116449,12800,1.802403211593628
1557685758.8148422,12880,1.800862193107605
1557685762.806823,12960,1.8162667751312256
1557685766.7677999,13040,1.7898592948913574
1557685770.5500958,13120,1.6651448011398315
1557685774.413083,13200,1.7060937881469727
1557685778.293901,13280,1.770544409751892
1557685782.1577773,13360,1.769594430923462
1557685786.0960574,13440,1.6901332139968872
1557685789.9193482,13520,1.6895679235458374
1557685793.8203104,13600,1.6977143287658691
1557685797.5842667,13680,1.689780592918396
1557685801.4218028,13760,1.6999962329864502
1557685805.2246237,13840,1.690044641494751
1557685808.9308946,13920,1.663447380065918
1557685812.6591353,14000,1.7168018817901611
1557685816.5783389,14080,1.6823900938034058
1557685820.3683405,14160,1.6874643564224243
1557685824.2640638,14240,1.6572221517562866
1557685828.1210124,14320,1.6895173788070679
1557685832.0906758,14400,1.6720654964447021
1557685836.0007281,14480,1.6737948656082153
1557685839.8273757,14560,1.6821980476379395
1557685843.8308718,14640,1.6653560400009155
1557685847.535777,14720,1.6650789976119995
1557685851.4228659,14800,1.6623332500457764
1557685855.3488212,14880,1.649899959564209
1557685859.2901921,14960,1.6492114067077637
1557685863.1517158,15040,1.649491548538208
1557685867.111867,15120,1.6392446756362915
1557685871.0132105,15200,1.6237237453460693
1557685874.908744,15280,1.614928126335144
1557685878.8097694,15360,1.617532730102539
1557685882.7780828,15440,1.6141879558563232
1557685886.714484,15520,1.6097923517227173
1557685890.6397834,15600,1.6111832857131958
1557685894.6461587,15680,1.6061843633651733
1557685898.5116804,15760,1.5978784561157227
1557685902.3995967,15840,1.5959398746490479
1557685906.2620158,15920,1.582393765449524
1557685909.9690592,16000,1.605607509613037
1557685913.9246624,16080,1.5948926210403442
1557685917.9200528,16160,1.5898445844650269
1557685921.9332542,16240,1.583359718322754
1557685925.771922,16320,1.5861958265304565
1557685929.6696548,16400,1.57880437374115
1557685933.3159225,16480,1.5691561698913574
1557685936.991155,16560,1.583598256111145
1557685940.8270476,16640,1.6080307960510254
1557685944.530523,16720,1.5862027406692505
1557685948.485917,16800,1.5774030685424805
1557685952.2181323,16880,1.5795671939849854
1557685955.9392242,16960,1.5774987936019897
1557685959.7568777,17040,1.6383421421051025
1557685963.6314957,17120,1.6509392261505127
1557685967.6068144,17200,1.6413400173187256
1557685971.4637773,17280,1.625805377960205
1557685975.3840249,17360,1.6402164697647095
1557685979.0823007,17440,1.8927950859069824
1557685982.9349556,17520,1.7140119075775146
1557685986.8281507,17600,1.5801037549972534
1557685990.9278128,17680,1.505536675453186
1557685994.7207558,17760,1.5134122371673584
1557685998.4932165,17840,1.5120437145233154
1557686002.3941007,17920,1.5118814706802368
1557686006.219339,18000,1.5302305221557617
1557686010.184013,18080,1.5490483045578003
1557686014.156754,18160,1.5299628973007202
1557686017.9410393,18240,1.6341240406036377
1557686021.7379622,18320,1.7151572704315186
1557686025.6209426,18400,1.698642373085022
1557686029.5832915,18480,1.7025490999221802
1557686033.2987182,18560,1.9038344621658325
1557686037.0411992,18640,1.714381456375122
1557686040.9466245,18720,1.7400051355361938
1557686044.7619286,18800,1.7148653268814087
1557686048.7661865,18880,1.8905644416809082
1557686052.732025,18960,1.8296135663986206
1557686056.6458423,19040,1.6787834167480469
1557686060.5375926,19120,1.7044978141784668
1557686064.449161,19200,1.6613893508911133
1557686068.273595,19280,1.654833436012268
1557686072.255422,19360,1.6523077487945557
1557686076.1593673,19440,1.6534463167190552
1557686080.1146517,19520,1.6557981967926025
1557686083.8109844,19600,1.6864877939224243
1557686087.585028,19680,1.6550191640853882
1557686091.4832432,19760,1.6458536386489868
1557686095.363933,19840,1.6505612134933472
1557686099.2079878,19920,1.6511821746826172
1557686102.8450615,20000,1.6383891105651855
1557686106.7234998,20080,1.6384522914886475
1557686110.5167303,20160,1.6303099393844604
1557686114.2798617,20240,1.6142289638519287
1557686118.1074278,20320,1.6616694927215576
1557686122.0720024,20400,1.6722757816314697
1557686125.8092206,20480,1.6603422164916992
1557686129.7353184,20560,1.657081127166748
1557686133.549506,20640,1.6546995639801025
1557686137.2320747,20720,1.6396446228027344
1557686140.9641495,20800,1.6329425573349
1557686144.982013,20880,1.6244738101959229
1557686148.8481176,20960,1.6190937757492065
1557686152.7011395,21040,1.6089493036270142
1557686156.3259258,21120,1.6071051359176636
1557686160.215318,21200,1.604013204574585
1557686163.8567834,21280,1.6299511194229126
1557686167.7385428,21360,1.7847291231155396
1557686171.5078318,21440,1.7320369482040405
1557686175.3181357,21520,1.8598591089248657
1557686179.2403662,21600,1.7467104196548462
1557686183.156045,21680,1.6630809307098389
1557686186.890302,21760,1.658976435661316
1557686190.6153939,21840,1.6425853967666626
1557686194.556865,21920,1.5922616720199585
1557686198.4901736,22000,1.6242492198944092
1557686202.655341,22080,1.6095527410507202
1557686206.7783115,22160,1.6178864240646362
1557686210.5423472,22240,1.62054443359375
1557686214.4589283,22320,1.6194872856140137
1557686218.267741,22400,1.6102921962738037
1557686222.1196957,22480,1.6251838207244873
1557686225.8353374,22560,1.6052446365356445
1557686229.6534865,22640,1.6079243421554565
1557686233.5646293,22720,1.6069371700286865
1557686237.5203702,22800,1.6069836616516113
1557686241.3234096,22880,1.5936089754104614
1557686245.284075,22960,1.5917363166809082
1557686249.040441,23040,1.5874687433242798
1557686252.914894,23120,1.5857481956481934
1557686256.6999242,23200,1.5789825916290283
1557686260.6258593,23280,1.5728915929794312
1557686264.426634,23360,1.5610325336456299
1557686268.3109884,23440,1.5605138540267944
1557686272.0592256,23520,1.5580642223358154
1557686276.1317716,23600,1.5615053176879883
1557686280.0749748,23680,1.5622285604476929
1557686283.895148,23760,1.5772817134857178
1557686287.8951724,23840,1.735456943511963
1557686291.6708398,23920,1.7048323154449463
1557686295.552422,24000,1.6502575874328613
