Wall time,Step,Value
1557680599.760435,80,0.27581092715263367
1557680614.8455784,160,0.33573970198631287
1557680629.8078597,240,0.35077136754989624
1557680644.6775951,320,0.350969135761261
1557680659.715317,400,0.3818235695362091
1557680674.6240716,480,0.4039754867553711
1557680689.618376,560,0.41841375827789307
1557680704.5719593,640,0.41515031456947327
1557680719.660086,720,0.4261273741722107
1557680734.5905776,800,0.4538172483444214
1557680749.6138706,880,0.4342365562915802
1557680764.6102672,960,0.45945411920547485
1557680779.513967,1040,0.4567840099334717
1557680794.4760983,1120,0.45984968543052673
1557680809.501596,1200,0.46370649337768555
1557680824.45413,1280,0.4732990562915802
1557680839.3106673,1360,0.4606408178806305
1557680854.2818973,1440,0.4984177350997925
1557680869.2144554,1520,0.4653876721858978
1557680884.2332482,1600,0.4785403609275818
1557680899.186329,1680,0.5020767450332642
1557680914.1517363,1760,0.47636470198631287
1557680929.2012794,1840,0.4906052350997925
1557680944.1682281,1920,0.4586629867553711
1557680959.0242536,2000,0.48457279801368713
1557680973.9772103,2080,0.4961431920528412
1557680988.9754941,2160,0.4575751721858978
1557681004.0347402,2240,0.501780092716217
1557681019.0358949,2320,0.4860561788082123
1557681033.9060225,2400,0.5055379867553711
1557681048.78289,2480,0.4818038046360016
1557681063.8145006,2560,0.47676029801368713
1557681078.824193,2640,0.4880340099334717
1557681093.869099,2720,0.48971518874168396
1557681108.9383075,2800,0.48941850662231445
1557681123.9979434,2880,0.5025712251663208
1557681139.0496907,2960,0.4829905033111572
1557681153.9740949,3040,0.5108781456947327
1557681168.9323897,3120,0.491594135761261
1557681183.9824774,3200,0.4918908178806305
1557681198.9691138,3280,0.5008900165557861
1557681213.9997995,3360,0.482496052980423
1557681229.018036,3440,0.4879351258277893
1557681243.9129696,3520,0.4766613841056824
1557681258.969548,3600,0.4955498278141022
1557681273.9237456,3680,0.49624207615852356
1557681288.922562,3760,0.47606804966926575
1557681303.8909018,3840,0.4726068079471588
1557681318.8649843,3920,0.5061313509941101
1557681333.8400962,4000,0.503757894039154
1557681348.7503536,4080,0.49851661920547485
1557681363.785289,4160,0.48714399337768555
1557681378.6769023,4240,0.4866495132446289
1557681393.6187387,4320,0.5019778609275818
1557681408.5621367,4400,0.49070411920547485
1557681423.7529573,4480,0.4814082384109497
1557681438.758331,4560,0.4678599536418915
1557681453.699181,4640,0.4882318079471588
1557681468.6561363,4720,0.4889240562915802
1557681483.714158,4800,0.49456092715263367
1557681498.646242,4880,0.5136471390724182
1557681513.7558036,4960,0.48813292384147644
1557681528.8297036,5040,0.49465981125831604
1557681543.85016,5120,0.5081091523170471
1557681558.9559495,5200,0.4967365562915802
1557681573.9747186,5280,0.510977029800415
1557681589.0767276,5360,0.4863528609275818
1557681604.1260145,5440,0.49723100662231445
1557681619.1977005,5520,0.4896163046360016
1557681634.3115828,5600,0.4730023741722107
1557681649.3341706,5680,0.510977029800415
1557681664.4089358,5760,0.4967365562915802
1557681679.5074809,5840,0.49693432450294495
1557681694.5148857,5920,0.4991099536418915
1557681709.6184592,6000,0.49198970198631287
1557681724.7210479,6080,0.5045490264892578
1557681739.8230247,6160,0.4947586953639984
1557681754.8939264,6240,0.48200157284736633
1557681769.8476458,6320,0.4950553774833679
1557681784.9639087,6400,0.4840783178806305
1557681799.9256396,6480,0.5004944801330566
1557681814.9464495,6560,0.4974288046360016
1557681829.9161987,6640,0.506032407283783
1557681845.0218675,6720,0.5009889006614685
1557681860.1754107,6800,0.49782437086105347
1557681875.221549,6880,0.49337419867515564
1557681890.4754362,6960,0.491594135761261
1557681905.6984665,7040,0.5054391026496887
1557681920.8510935,7120,0.4902096390724182
1557681935.9803698,7200,0.4954509437084198
1557681951.1391814,7280,0.491594135761261
1557681966.3113234,7360,0.5002966523170471
1557681981.3457825,7440,0.4873417615890503
1557681996.5178263,7520,0.5022745132446289
1557682011.6136274,7600,0.5052412748336792
1557682026.849743,7680,0.4909018874168396
1557682041.9905033,7760,0.499406635761261
1557682057.1003392,7840,0.4983188211917877
1557682072.1359777,7920,0.5043512582778931
1557682087.2153687,8000,0.5076147317886353
1557682102.3561933,8080,0.5025712251663208
1557682117.6231823,8160,0.5059335231781006
1557682132.7860816,8240,0.4951542615890503
1557682147.9123156,8320,0.4817048907279968
1557682163.004927,8400,0.4951542615890503
